title,description,ingredients,steps,category,image
Pasta con salsa de anacardos,Pasta cremosa con salsa de anacardos y ajo.,"['Pasta', 'Anacardos', 'Ajo', 'Levadura nutricional']","['Cocinar pasta', 'Licuar anacardos y ajo', 'Mezclar con la pasta']",Desayuno,https://res.cloudinary.com/dyhasskhz/image/upload/v1741257715/vegan_recipes/pasta_con_salsa_de_anacardos.jpg
Tofu a la naranja,Tofu marinado y salteado con una salsa de naranja casera.,"['Tofu', 'Naranja', 'Salsa de soja', 'Jengibre']","['Marinar tofu', 'Saltear con salsa de naranja']",Desayuno,https://res.cloudinary.com/dyhasskhz/image/upload/v1741166843/vegan_recipes/tofu_a_la_naranja.jpg
Burritos de tofu,Burritos rellenos de tofu marinado y verduras frescas.,"['Tortilla', 'Tofu', 'Pimientos', 'Cebolla', 'Aguacate']","['Cocinar tofu con especias', 'Armar burritos con verduras']",Merienda,https://res.cloudinary.com/dyhasskhz/image/upload/v1741166843/vegan_recipes/burritos_de_tofu.jpg
Porridge de avena y coco,Gachas de avena con leche de coco y frutas tropicales.,"['Avena', 'Leche de coco', 'Plátano', 'Mango']","['Cocinar avena con leche de coco', 'Añadir frutas']",Comida,https://res.cloudinary.com/dyhasskhz/image/upload/v1741257715/vegan_recipes/porridge_de_avena_y_coco.jpg
Empanadas veganas de espinacas,Empanadas horneadas rellenas de espinacas y tofu.,"['Harina', 'Espinacas', 'Tofu', 'Cebolla']","['Preparar masa', 'Rellenar y hornear']",Merienda,https://res.cloudinary.com/dyhasskhz/image/upload/v1741167734/vegan_recipes/empanadas_veganas_de_espinacas.jpg
Sándwich de tofu marinado,Sándwich crujiente con tofu marinado y aguacate.,"['Pan integral', 'Tofu', 'Aguacate', 'Lechuga']","['Marinar tofu', 'Armar el sándwich']",Desayuno,https://res.cloudinary.com/dyhasskhz/image/upload/v1741257715/vegan_recipes/sandwich_de_tofu_marinado.jpg
Sopa fría de pepino y menta,Sopa refrescante de pepino con un toque de menta.,"['Pepino', 'Menta', 'Yogur vegetal', 'Limón']","['Licuar ingredientes', 'Servir fría']",Desayuno,https://res.cloudinary.com/dyhasskhz/image/upload/v1741257716/vegan_recipes/sopa_fria_de_pepino_y_menta.jpg
Tarta de zanahoria vegana,Bizcocho húmedo de zanahoria con especias y nueces.,"['Zanahoria', 'Harina', 'Canela', 'Nueces']","['Mezclar ingredientes', 'Hornear hasta dorar']",Desayuno,https://res.cloudinary.com/dyhasskhz/image/upload/v1741257716/vegan_recipes/tarta_de_zanahoria_vegana.jpg
Pasta al pesto vegano,Pasta con un delicioso pesto hecho sin queso.,"['Pasta', 'Albahaca', 'Nueces', 'Ajo', 'Aceite de oliva']","['Licuar ingredientes del pesto', 'Mezclar con la pasta']",Desayuno,https://res.cloudinary.com/dyhasskhz/image/upload/v1741257715/vegan_recipes/pasta_al_pesto_vegano.jpg
Chili sin carne,Versión vegana del chili con frijoles y tomate.,"['Frijoles rojos', 'Tomate', 'Cebolla', 'Pimiento']","['Cocinar ingredientes en olla', 'Sazonar al gusto']",Desayuno,https://res.cloudinary.com/dyhasskhz/image/upload/v1741166843/vegan_recipes/chili_sin_carne.jpg
